id,Name,Zip Code,Buisness Rating,Review Count,Categories,Delivery,Distance,Price
Fkgr0zyUuqol4dVub-4lTQ,Pho Belmarasia,80226,4.0,163,vietnamese,True,9567.213589753104,$$
MviQVfABNdmCKLsVAzzIwA,Gordon Biersch Brewery Restaurant,80021,3.0,242,breweries,True,25868.047780453217,$$
jus5p9mRMi9u2zJ1xqwIrg,Vino Volo,80249,4.0,85,wine_bars,False,28720.59348867808,$$
cMAm22aqK01POwuBkBdDVA,Potranquitas Express,80223,5.0,1,bars,True,5802.239500621421,
jj1ZrKNJYM2EXhpmbu6Gtg,Golden Flame Hot Wings,80013,4.0,235,chicken_wings,True,19406.998743328815,$$
n5GYdi1QDoQdSyTrw6RPbQ,Sexy Pizza,80210,3.5,360,pizza,True,5364.627717374652,$
fMbA5xYrHqSPIaeUzeJHRQ,"Luke's, A Steak Place",80033,3.5,169,steak,True,13141.662592486357,$$$
pdXShVJTCvxvy5y40F4hIA,Noonan's Sports Bar & Grill,80014,3.5,109,sportsbars,True,13448.770989754272,$$
v9xko1W1-0M-TeqduUwFuQ,/pôr/ wine house,80027,3.0,174,tapasmallplates,True,30212.408729285722,$$
3ZU5wEGzsVxmc-htldIJ7w,Shine Restaurant & Potion Bar,80302,3.5,358,newamerican,True,39978.60897691468,$$
5TQvgb_E67dxWlZ8E1PXZw,Mt Fuji Hibachi & Sushi Bar,80203,3.0,401,sushi,True,1597.2356053322574,$$
XzX0OJOoiI6-iWr7HmHW3A,The Rock Wood Fired Pizza,80226,3.5,456,pizza,True,9786.060087073476,$$
fyXFZwQaJdDIz4BqJGjKoA,Lincoln Station Coffee Pizza Music,80124,4.0,68,coffee,True,22694.08528864857,$
8GdIIGgqFK7HcOhmuHOUBA,Verde,80301,4.0,174,mexican,True,40974.376446663766,$$
taoaqdv6d9CrP5QMVwMuug,Cafe Terracotta,80120,4.5,474,tradamerican,True,14057.035637182704,$$
Mjy8rojmyCMQu9x8mjzIZg,BJ's Restaurant & Brewhouse,80021,3.0,254,newamerican,True,19157.96941297167,$$
-NE9ibyALjAd58LjqJSd4A,Colorado Bar & Grill,80233,1.5,25,tradamerican,False,19725.14849356867,$$
QWUxdFhdQYVkblBKB1AVKQ,Indulge Bistro & Wine Bar,80129,3.5,276,wine_bars,True,21214.512192893042,$$
RcwpMQlFG9Di-g9OMMhyGg,Mellow Mushroom - Downtown Denver,80202,4.0,621,pizza,True,2710.18330334821,$$
sAzI47FXiIF2hoeruj-atg,Godfather’s Pizza,80601,4.5,9,pizza,True,31046.248213971438,
Z0Gmva1xm7lk4blb9RglwA,Bad Daddy's Burger Bar,80233,4.0,452,burgers,True,19862.74115557491,$$
6iYb2HFDywm3zjuRg0shjw,Oskar Blues Taproom,80302,4.0,87,breweries,True,41197.8238625537,$$
eBBI6poQ5Sva4lutJb4zAg,Fat Sully's Pizza,80212,3.0,103,pizza,True,7669.569599921024,$$
chmtc0lsrVXoWaoO4_ipQw,Bad Daddy's Burger Bar,80122,3.5,213,burgers,True,15867.200166424036,$$
KrDi1L-mSoiK4prTLkQoXQ,Yak and Yeti - Denver,80231,4.0,406,indpak,True,12256.001158500074,$$
