id,Name,Zip Code,Buisness Rating,Review Count,Categories,Delivery,Distance,Price
Jmyya_ylt3Bks4NTcyWgEg,Zuma,02199,4.0,124,japanese,True,1119.6940944870555,
CJ0DuAPIract7wPMWgsXbg,Renegade's Pub,02128,4.0,93,pubs,True,6845.877773143208,$
rK-fgI2_-x0T4lxwF9L4Ww,The Publick House,02445,4.0,1187,pubs,True,5460.959569472913,$$
OxobKchEqJU2BZi6qc0QBA,The Sevens Ale House,02114,3.5,281,pubs,True,1149.0284976292191,$$
9XovFXshYZEqA-4v2mzh6g,The Squealing Pig,02120,3.5,410,pubs,True,2921.5065491472033,$$
AOiNvHQUa5tAJN7Xt4176A,Tiki Rock,02109,3.5,363,tikibars,True,1854.214343919337,$$
t4zpNjWmwKmPe4STXV0OYw,Gustazo Cuban Kitchen & Bar,02140,4.5,159,cuban,True,6455.354966279373,
sqr1T-KLQ7ED49SlAEx49w,SOJUba,02215,4.0,308,korean,True,2085.70284096307,$$
0REdlKVtzMv1KkSbyO0k5g,The Longfellow Bar,02138,4.0,76,newamerican,True,5022.577949731171,
vy-jx5LVTbQDEXb07wC13g,Taste Wine Bar & Kitchen,02110,4.5,67,wine_bars,True,1258.6227726590027,$$
8hJIgeFWS_WXgQBvCpjeQg,Blossom Bar,02445,4.0,211,cocktailbars,True,4270.648049886174,$$
cqQfX8bDkR-7Ijh8JMtqJg,Audubon Boston,02215,4.0,191,tradamerican,True,2629.040314945581,$$
xVxjzyMqghCYwVe_dwJzJw,Loco Taqueria & Oyster Bar,02127,4.0,609,cocktailbars,True,2279.095993596969,$$
eTTnOUoAhbv65vcApwhTgQ,Hopewell Bar & Kitchen,02134,4.0,235,bars,True,5111.517588519524,$$
M0fRUDEo9mbnZFXhvshlFw,Dillon's,02115,3.0,465,bars,True,1202.560496809323,$$
UAtX7xmIfdd1W2Pebf6NWg,Sidebar Boston,02108,3.5,240,tradamerican,True,1320.985840773436,$
BzDlLJ9uSFV5HCOkGcumUQ,Bar Lyon,02118,4.5,88,bars,True,1339.1395799817162,
c0d6MwDQGkt4sBLVFQCaMw,Banyan Bar + Refuge,02116,3.5,358,asianfusion,True,391.9294556281568,$$
FioFvBhgVPV2dZW3mxjxQQ,Lulu's Allston,02134,4.0,493,newamerican,True,5232.645996524702,$$
UrgCPlAXDhKxNuDbGtqh9Q,Dublin House,02125,3.5,12,restaurants,True,3497.263668657047,$
lrgGdVjP9iVYOXP-357fsA,CitySide Tavern,02135,3.0,356,bars,True,6634.399062850463,$$
fmw_0vST7GjdibObHWLOuQ,Franklin Cafe,02118,4.0,509,lounges,True,578.6264628904432,$$
gVmVqKTkgfFqXDg53t_nVQ,Bar à vin 1855,02116,4.5,18,wine_bars,False,1004.6702057926067,
PkSaTVkRMXUcsrAJHxPI2w,Ghost Pepper Taco + Tequila Bar,02125,3.5,74,mexican,True,4284.648994605566,$$
2v0-gBcXethuNFT6rMGiRw,Mr. Dooley's,02109,4.0,431,irish,True,1809.9777665024694,$$
lAUA9Dr_eFliVB5JGUy3qA,Trina's Starlite Lounge,02143,4.0,480,lounges,True,3880.4984550562867,$$
djb7jPPMwVOBfCE5K7Ilog,Hops N Scotch,02446,3.5,443,bars,False,4102.984868263599,$$
naaaoYjlln77ZjsN8ql4cg,Pearl & Lime,02169,4.5,49,latin,True,12357.960560303525,
WI-04gXZls3TM8rTAhMW_g,The Playwright,02127,2.5,26,tradamerican,True,3042.297324110609,
qJxjhLQjLcYnpcqqDHS3Jg,PURO ceviche bar,02116,4.5,206,wine_bars,True,988.2299220700704,$$
mmJ2ixPN8NIkEEIM4oHd8g,Kings Dining & Entertainment - Boston Seaport,02210,4.0,202,sportsbars,True,2053.959883933824,$$
vCaaXCYqpBsxJy2kBR67IA,The Brahmin,02116,3.5,401,newamerican,True,172.2302021837145,$$
_tkRmWRJpRDiXCzxNZSEIA,The Red Hat,02114,3.5,257,divebars,True,1611.6075733909752,$$
yBIN7uSzd5saehWA1I_GBw,Row 34,02210,4.0,1486,newamerican,True,1960.4098750144674,$$$
vRlGCME1KCFPQc_hW2AVlA,Fromage Wine Bar and Restaurant,02127,4.0,97,bars,True,2226.8484822416667,$$
W0Lmpe7yIVercq9ouNzrxA,Lower Mills Tavern,02124,4.0,143,cocktailbars,True,8325.795074839643,$$
VwcuTadW8apQeNvt0IRfKQ,The Junction,02127,4.0,83,bars,True,2513.1305018329767,$$
bsGuOhibpJc-MHNXj9kiUg,Cask'n Flagon,02215,3.5,606,sportsbars,True,2215.102831752409,$$
j26j_w7dt3YiSqyBZBwadg,465 Bar and Restaurant,02115,4.0,10,newamerican,True,2090.553763170896,
IvvgLWS3J6qR4dhYMlDOPA,Tavern In The Square,02114,3.5,267,sportsbars,True,2188.1199568762736,$$
YwtjSs7ul_6RX1WnWglxIA,River Bar,02145,3.0,268,cocktailbars,False,5361.986372407957,$$
bqC8cTtPJmSAW6NUVHV9YQ,Tavern at the End of the World,02129,4.0,215,pubs,True,3876.5961389102513,$$
5NsdznaNSUmH2O0vuo65Pw,Cornish Pasty,02115,4.5,282,british,True,1489.813205536254,$$
HJfJAZm5zwaR0t1zCBNUDQ,VERSUS,02108,3.5,75,arcades,True,1375.2173671358398,
cSvpRCBljhJiE6NFZUwK4w,Sunset Cantina,02215,3.5,635,mexican,True,3758.2105025901155,$$
ev0CyR6RXtt-2mjQciY3nw,The Bullpen,02215,4.5,17,sportsbars,False,2269.4074567544317,$
pgb_V3Wk56X5HK1NfLFgcw,The Black Rose,02109,3.5,705,tradamerican,True,1935.9850658591622,$$
STgopLVLqcFNLRl-2H3VSw,Scorpion Bar Boston,02210,2.5,218,mexican,True,2027.1753854768028,$$
aGYdF_fNHDhFCAnXoTCkGA,Boston Sail Loft,02110,4.0,847,bars,True,2353.4798039628545,$$
fUXHR5XBFa4qV_NvPXpuAA,Rochambeau,02115,4.0,124,french,True,1145.425215233896,
wuiDoeKWClLrr2g2LSXA8w,KO Pies At the Shipyard,02128,4.5,323,australian,True,3722.5468346669595,$$
wxe0Hxxhv4FQtI8EvrgReA,Monument Restaurant & Tavern,02129,4.5,202,bars,True,3261.5074594427497,$$
sV538upjEMiKNVFZBS5zMQ,Bronwyn Restaurant,02143,4.0,415,german,True,4034.8754433210875,$$
bZhUufqdpg5qxsDKpIRv5A,Bar Mezzana,02118,4.5,346,italian,True,727.0636035927298,$$$
YGSacISAJEsEGrBKFwR0Gg,The Westland,02115,3.5,87,newamerican,True,1351.3370311039055,$$
Go8U9oJd4CfpO1ik4Z8iKA,Lucky's Lounge,02210,3.5,624,lounges,True,1882.9142540108362,$$
Qz7YOjaJ89TFdWhtt4mAiw,Bar 'Cino,02446,4.0,64,italian,True,3057.8764333219406,
9VGECwLbj29RljD2WVSzaw,Porters Bar & Grill,02114,4.0,247,tradamerican,True,1989.8793928392918,$$
t77sOZmbHMB6n3whAQT8MA,Clerys,02116,3.0,444,bars,True,372.73151658249355,$$
pzCrO7RatLAB9ThsOSRu9A,Stats Bar & Grille,02127,3.5,130,sportsbars,True,2511.5104694226757,$$
y2w6rFaO0XEiG5mFfOsiFA,Neptune Oyster,02113,4.5,5123,seafood,True,2122.4029385375484,$$$
A--_gxXUMp4caZzQlLPLoA,Temazcal Tequila Cantina,02210,3.0,836,mexican,True,2703.86444025981,$$
_RWkck7niE8VJG3zLXK2ig,Silvertone,02108,4.0,866,tradamerican,True,1334.1050123566185,$$
bpuQzgbzKohXD8MuE6ZCaw,Outlook Kitchen And Bar,02211,3.5,227,newamerican,True,1989.8905570494212,$$
l4YpEuvIm_RqNXleuDIthw,Ma Maison,02114,4.5,247,french,True,1485.342634029259,$$
8I2CBbVJnWS8w8OfkexE8g,The Warren Tavern,02129,4.0,479,bars,True,3013.3388551916664,$$
F3G9zpyYBBzXi8kpAFc1Yg,Tanám,02143,4.5,34,filipino,False,4315.326243475064,
KPFscTq_-jGPla0cNQRUcg,Meadhall,02142,3.5,745,bars,True,2206.879759668176,$$
nmSiYGAo8YA4oCXjAAgY5g,The Mission Bar & Grill,02120,3.5,336,bars,True,3188.946924690553,$$
-bC1fMN5kQgFruzUR8E_RA,Tony C's Sports Bar & Grill,02210,2.5,530,tradamerican,True,2683.993845021362,$$
qtww5gR4Oyw29gqMoV3uLg,Grainne O Malleys,02446,4.5,63,irish_pubs,True,4166.909826454771,$$
DkhLETFI7Z49Kbsa6E1icA,Hojoko Boston,02215,3.5,396,japanese,True,2133.2820213045707,$$
09pqlAR4TSjQXNTiB4cXjw,Jm Curley,02111,3.5,798,newamerican,True,1101.2946873624865,$$
